HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3R0WOCG22PM5TAXSH8SDA43I3F8DU1,3CM00QMEUOZ3PWG1WD4H616EE39W6Z,Watch a short video and fill out a short survey in response,We are conducting an academic study about causality. We need to understand your opinion about a specific subject after viewing a short video. This survey is limited to US participants only.,"survey, video, causality",$1.00 ,Tue Nov 26 09:38:17 PST 2019,347,BatchId:3849722;OriginalHitTemplateId:920937340;,3600,259200,Tue Dec 03 09:38:17 PST 2019,,,308XBLVESMHNK55LPKB4YNNK8RKRBG,A3PGUPNMOU5BPW,Submitted,Tue Nov 26 11:48:11 PST 2019,Tue Nov 26 12:47:22 PST 2019,Fri Nov 29 12:47:22 PST 2019,,,,3551,0% (0/0),0% (0/0),0% (0/0),need time,,Survey Code not valid
3R0WOCG22PM5TAXSH8SDA43I3F8DU1,3CM00QMEUOZ3PWG1WD4H616EE39W6Z,Watch a short video and fill out a short survey in response,We are conducting an academic study about causality. We need to understand your opinion about a specific subject after viewing a short video. This survey is limited to US participants only.,"survey, video, causality",$1.00 ,Tue Nov 26 09:38:17 PST 2019,347,BatchId:3849722;OriginalHitTemplateId:920937340;,3600,259200,Tue Dec 03 09:38:17 PST 2019,,,31T4R4OBOWTWCRDCU69T4Q22PZ67CI,A18T7E73TNGOKP,Submitted,Tue Nov 26 10:14:12 PST 2019,Tue Nov 26 10:58:57 PST 2019,Fri Nov 29 10:58:57 PST 2019,,,,2685,0% (0/0),0% (0/0),0% (0/0),"hank you for taking our survey. As stated in the Consent Form, there are certain requirements that must be met in order to participate and receive compensation.  You are seeing this message because you are not eligible to complete the study and receive compensation. This may be due to:      You didn't give consent to be part of the study      You failed to read and understand the questions and instructions before answering them   This follows Amazon Mechanical Turk policy, which states that “a Requester may reject your work if the HIT was not completed correctly or the instructions were not followed.”  You may close this window or use your explorer bar to navigate back to the Amazon Mechanical Turk site.  The Consent Form from the beginning of the study is below if you would like to review it:  Thank you for your participation in our study. This study requires you to watch a couple of short videos then answer survey questions.  We are also collecting demographic data through survey questions. This will be used for research purposes only and will be published only in an aggregated form.  We take your privacy seriously and will make every effort to respect and protect it.  In the survey questions we require you to read and understand the questions before selecting the options. There are checks in place to make sure of this and for a successful completion you need to pass those checks.   Once you finish the survey and pass the checks you will be given a code which can be used in Amazon Mechanical Turk to get paid. -- I spent 45 mins on this and then had to go to the bathroom for two mins and came back to this.... please compensate me.. as a black woman I'm struggling so hard in life. I need this dollar to buy my son broccoli. Please our foodstamps are out for another week and I'm so low on gas... I'm a single mother and as a black woman I never can catch a  break. Please compensate me and find it in your heart as this holiday season to possibly bonus us so I can get us a turkey instead of mcdonalds for thanksgiving. God bless",x,
3R0WOCG22PM5TAXSH8SDA43I3F8DU1,3CM00QMEUOZ3PWG1WD4H616EE39W6Z,Watch a short video and fill out a short survey in response,We are conducting an academic study about causality. We need to understand your opinion about a specific subject after viewing a short video. This survey is limited to US participants only.,"survey, video, causality",$1.00 ,Tue Nov 26 09:38:17 PST 2019,347,BatchId:3849722;OriginalHitTemplateId:920937340;,3600,259200,Tue Dec 03 09:38:17 PST 2019,,,33LK57MYLXIV3I8EANRCAFZJLV4ZSV,AWYK8MO0YQGXG,Submitted,Tue Nov 26 09:39:09 PST 2019,Tue Nov 26 09:51:15 PST 2019,Fri Nov 29 09:51:15 PST 2019,,,,726,0% (0/0),0% (0/0),0% (0/0),AWYK8MO0YQGXG,,Survey Code not valid
3R0WOCG22PM5TAXSH8SDA43I3F8DU1,3CM00QMEUOZ3PWG1WD4H616EE39W6Z,Watch a short video and fill out a short survey in response,We are conducting an academic study about causality. We need to understand your opinion about a specific subject after viewing a short video. This survey is limited to US participants only.,"survey, video, causality",$1.00 ,Tue Nov 26 09:38:17 PST 2019,347,BatchId:3849722;OriginalHitTemplateId:920937340;,3600,259200,Tue Dec 03 09:38:17 PST 2019,,,3L70J4KAZKZO0LHO15GOYNMAB89ADZ,AS4DJDRD5MBU5,Submitted,Tue Nov 26 11:53:39 PST 2019,Tue Nov 26 12:23:14 PST 2019,Fri Nov 29 12:23:14 PST 2019,,,,1775,0% (0/0),0% (0/0),0% (0/0),AS4DJDRD5MBU5,,Survey Code not valid
3R0WOCG22PM5TAXSH8SDA43I3F8DU1,3CM00QMEUOZ3PWG1WD4H616EE39W6Z,Watch a short video and fill out a short survey in response,We are conducting an academic study about causality. We need to understand your opinion about a specific subject after viewing a short video. This survey is limited to US participants only.,"survey, video, causality",$1.00 ,Tue Nov 26 09:38:17 PST 2019,347,BatchId:3849722;OriginalHitTemplateId:920937340;,3600,259200,Tue Dec 03 09:38:17 PST 2019,,,3YWRV122CWCWYZZVQ2MZCWK37JIU81,A3I1W58P6SIV26,Submitted,Tue Nov 26 09:39:50 PST 2019,Tue Nov 26 10:32:19 PST 2019,Fri Nov 29 10:32:19 PST 2019,,,,3149,0% (0/0),0% (0/0),0% (0/0),A3I1W58P6SIV26,,Survey Code not valid
3R0WOCG22PM5TAXSH8SDA43I3F8DU1,3CM00QMEUOZ3PWG1WD4H616EE39W6Z,Watch a short video and fill out a short survey in response,We are conducting an academic study about causality. We need to understand your opinion about a specific subject after viewing a short video. This survey is limited to US participants only.,"survey, video, causality",$1.00 ,Tue Nov 26 09:38:17 PST 2019,347,BatchId:3849722;OriginalHitTemplateId:920937340;,3600,259200,Tue Dec 03 09:38:17 PST 2019,,,30LB5CDZNGNV29O21L8S09T0Q3LZ08,A3AOVJ7F9LXQ51,Submitted,Tue Nov 26 10:05:58 PST 2019,Tue Nov 26 11:03:27 PST 2019,Fri Nov 29 11:03:27 PST 2019,,,,3449,0% (0/0),0% (0/0),0% (0/0),A3AOVJ7F9LXQ51,x,
3R0WOCG22PM5TAXSH8SDA43I3F8DU1,3CM00QMEUOZ3PWG1WD4H616EE39W6Z,Watch a short video and fill out a short survey in response,We are conducting an academic study about causality. We need to understand your opinion about a specific subject after viewing a short video. This survey is limited to US participants only.,"survey, video, causality",$1.00 ,Tue Nov 26 09:38:17 PST 2019,347,BatchId:3849722;OriginalHitTemplateId:920937340;,3600,259200,Tue Dec 03 09:38:17 PST 2019,,,33UKMF931DX0W6CUTV7KYWUO2IWTTY,A37CNLYELZKAJ0,Submitted,Tue Nov 26 09:45:28 PST 2019,Tue Nov 26 09:56:41 PST 2019,Fri Nov 29 09:56:41 PST 2019,,,,673,0% (0/0),0% (0/0),0% (0/0),A37CNLYELZKAJ0,,Survey Code not valid
3R0WOCG22PM5TAXSH8SDA43I3F8DU1,3CM00QMEUOZ3PWG1WD4H616EE39W6Z,Watch a short video and fill out a short survey in response,We are conducting an academic study about causality. We need to understand your opinion about a specific subject after viewing a short video. This survey is limited to US participants only.,"survey, video, causality",$1.00 ,Tue Nov 26 09:38:17 PST 2019,347,BatchId:3849722;OriginalHitTemplateId:920937340;,3600,259200,Tue Dec 03 09:38:17 PST 2019,,,3VBEN272MOCVC1D9KV3NP8JDA5ASGZ,A2Z7SWO6HS5OOI,Submitted,Tue Nov 26 09:39:15 PST 2019,Tue Nov 26 10:32:30 PST 2019,Fri Nov 29 10:32:30 PST 2019,,,,3195,0% (0/0),0% (0/0),0% (0/0),A2Z7SWO6HS5OOI,,Survey Code not valid
3R0WOCG22PM5TAXSH8SDA43I3F8DU1,3CM00QMEUOZ3PWG1WD4H616EE39W6Z,Watch a short video and fill out a short survey in response,We are conducting an academic study about causality. We need to understand your opinion about a specific subject after viewing a short video. This survey is limited to US participants only.,"survey, video, causality",$1.00 ,Tue Nov 26 09:38:17 PST 2019,347,BatchId:3849722;OriginalHitTemplateId:920937340;,3600,259200,Tue Dec 03 09:38:17 PST 2019,,,3OCHAWUVGSX8A4VR4WUPM8SYW1WKX5,A2WB107ELMVAJJ,Submitted,Tue Nov 26 10:00:39 PST 2019,Tue Nov 26 10:25:10 PST 2019,Fri Nov 29 10:25:10 PST 2019,,,,1471,0% (0/0),0% (0/0),0% (0/0),A2WB107ELMVAJJ,,Survey Code not valid
3R0WOCG22PM5TAXSH8SDA43I3F8DU1,3CM00QMEUOZ3PWG1WD4H616EE39W6Z,Watch a short video and fill out a short survey in response,We are conducting an academic study about causality. We need to understand your opinion about a specific subject after viewing a short video. This survey is limited to US participants only.,"survey, video, causality",$1.00 ,Tue Nov 26 09:38:17 PST 2019,347,BatchId:3849722;OriginalHitTemplateId:920937340;,3600,259200,Tue Dec 03 09:38:17 PST 2019,,,3OS4RQUCRDSQHF0CYPBAHY9152QBFK,A2OGID6HB9773,Submitted,Tue Nov 26 10:50:35 PST 2019,Tue Nov 26 11:18:08 PST 2019,Fri Nov 29 11:18:08 PST 2019,,,,1653,0% (0/0),0% (0/0),0% (0/0),A2OGID6HB9773,,Survey Code not valid
