StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID34,Q4_First Click,Q4_Last Click,Q4_Page Submit,Q4_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,Q28_First Click,Q28_Last Click,Q28_Page Submit,Q28_Click Count,Q24_First Click,Q24_Last Click,SurveyTime,Q24_Click Count,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Q25_First Click,Q25_Last Click,CovariateTime,Q25_Click Count,Age,Education,Gender,LivingAreaAffected,ClimateChangeAwareness,PreTreatment,Income,PoliticalView,Community,AlwaysTrue,Create New Field or Choose From Dropdown...,mTurkCode,Group,RejectedOutcomeQuestions,RejectedCovariateQuestions
11/26/19 10:39,11/26/19 10:46,IP Address,72.185.190.207,100,430,TRUE,11/26/19 10:46,R_1pFCJGo3hGlfjTQ,,,,,28.21369934,-82.68090057,anonymous,EN,Yes,,,,,,,,,58.752,58.752,96.654,1,0,0,300.794,0,,,,,,,,,1.837,17.516,18.918,7,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,,,,,,,,,,,,,,1,,6.63236E+11,AntiTreatment,Yes,
11/26/19 10:39,11/26/19 10:46,IP Address,173.125.53.21,100,441,TRUE,11/26/19 10:46,R_1CmhDhQ3nv8MY2B,,,,,33.74850464,-84.38710022,anonymous,EN,Yes,,,,,,,,,,,,,,,,,0,0,131.937,0,0,0,248.746,0,2.63,23.99,25.175,7,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,1.35,23.526,24.363,9,35-44 years,Professional degree,Male,No,No,Somewhat agree,"$100,000 - $149,000",Slightly Conservative,Suburban,1,,5.81543E+11,Placebo,,
11/26/19 10:39,11/26/19 10:46,IP Address,69.18.228.209,100,459,TRUE,11/26/19 10:46,R_3KZaQbtXwELqxHw,,,,,38.73440552,-98.19920349,anonymous,EN,Yes,,,,,,,,,,,,,,,,,0,0,132.702,0,0,0,251.117,0,3.001,27.777,28.757,7,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,1.21,32.537,33.476,9,35-44 years,Some college,Male,No,Yes,Strongly disagree,"Less than $50,000",Very Conservative,Rural,1,,87615467608,Placebo,,
11/26/19 10:39,11/26/19 10:47,IP Address,73.142.142.53,100,488,TRUE,11/26/19 10:47,R_1KmdCWUEFHQm1n3,,,,,41.6026001,-72.97650146,anonymous,EN,Yes,,,,,,,,,0,0,113.046,0,0,0,304.273,0,,,,,,,,,2.456,31.639,32.701,7,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,1.002,23.083,24.266,9,25-34 years,High school graduate,Male,No,No,Somewhat agree,"$50,000 - $74,000",Slightly Liberal,Rural,1,,6.90726E+11,AntiTreatment,,
11/26/19 10:38,11/26/19 10:48,IP Address,68.70.176.230,100,555,TRUE,11/26/19 10:48,R_A53r1jErX3LVeSd,,,,,41.66969299,-83.60710144,anonymous,EN,Yes,,,,,,,,,,,,,,,,,0,0,151.207,0,0,0,245.336,0,2.143,30.01,32.272,8,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,1.024,23.256,24.438,9,35-44 years,4 year degree,Male,No,No,Somewhat agree,"$75,000 - $99,000",Slightly Conservative,Rural,1,,7.35159E+11,Placebo,,
11/26/19 10:39,11/26/19 10:48,IP Address,104.129.195.7,100,544,TRUE,11/26/19 10:48,R_2rSxKNChxiDT905,,,,,38.92080688,-77.03600311,anonymous,EN,Yes,,,,,,,,,46.05,46.05,101.321,1,15.684,40.172,321.875,2,,,,,,,,,7.648,66.92,67.817,7,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,1.361,31.25,32.021,9,25-34 years,Professional degree,Female,No,Yes,Somewhat agree,"$50,000 - $74,000",Neither Conservative nor Liberal,Suburban,1,,3.52813E+11,AntiTreatment,,
11/26/19 10:39,11/26/19 10:48,IP Address,70.113.64.2,100,530,TRUE,11/26/19 10:48,R_2TAUlN77SrwTIUI,,,,,30.26609802,-97.71360016,anonymous,EN,Yes,228.674,228.674,231.699,1,0,0,267.578,0,,,,,,,,,,,,,,,,,6.321,18.062,18.964,9,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,1,,7.66346E+11,Treatment,Yes,
11/26/19 10:39,11/26/19 10:48,IP Address,107.77.235.10,100,548,TRUE,11/26/19 10:48,R_21c8oniGQSrkI41,,,,,37.75100708,-97.8219986,anonymous,EN,Yes,,,,,,,,,3.348,120.712,127.969,2,4.311,8.496,318.796,2,,,,,,,,,4.478,42.66,44.719,12,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,1.746,37.029,38.723,10,35-44 years,4 year degree,Male,Yes,Yes,Somewhat disagree,"$75,000 - $99,000",Neither Conservative nor Liberal,Suburban,1,,5.08622E+11,AntiTreatment,,
11/26/19 10:39,11/26/19 10:48,IP Address,74.196.166.179,100,555,TRUE,11/26/19 10:48,R_2bQ8GAv8uw0LFfm,,,,,30.17129517,-93.22440338,anonymous,EN,Yes,0,0,225.284,0,0,0,266.774,0,,,,,,,,,,,,,,,,,2.324,24.824,25.855,7,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,1.351,27.091,28.338,9,55 years or older,4 year degree,Female,Yes,Yes,Strongly agree,"Less than $50,000",Very Liberal,Rural,1,,2.80614E+11,Treatment,,
11/26/19 10:40,11/26/19 10:48,IP Address,73.48.80.170,100,453,TRUE,11/26/19 10:48,R_3nAWNieAE9jTdcy,,,,,30.49079895,-84.31580353,anonymous,EN,Yes,,,,,,,,,,,,,,,,,0,0,137.435,0,0,0,253.401,0,2.268,24.104,26.22,7,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,1.148,23.564,24.584,10,35-44 years,4 year degree,Male,Yes,No,Strongly agree,"Less than $50,000",Very Liberal,Urban,1,,4.96276E+11,Placebo,,
