StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_First Click,Q4_Last Click,Q4_Page Submit,Q4_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,Q28_First Click,Q28_Last Click,Q28_Page Submit,Q28_Click Count,Q24_First Click,Q24_Last Click,Q24_Page Submit,Q24_Click Count,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Q25_First Click,Q25_Last Click,Q25_Page Submit,Q25_Click Count,Age,Education,Gender,LivingAreaAffected,ClimateChangeAwareness,PreTreatment,Income,PoliticalView,Community,AlwaysTrue,mTurkCode,Group,RejectedOutcomeQuestions,RejectedCovariateQuestions
11/17/19 14:16,11/17/19 14:23,IP Address,71.182.225.191,100,447,TRUE,11/17/19 14:23,R_1NfaWBpukQgi6Hj,,,,,40.5375061,-79.96440125,anonymous,EN,,,,,,,,,,,,,,,,,6.399,6.399,127.645,1,0,0,241.789,0,5.431,32.015,33.128,7,Strongly agree,Strongly Agree,Strongly agree,Somewhat Disagree,Strongly agree,Somewhat disagree,Strongly agree,1.966,31.853,32.718,9,55 years or older,2 year degree,Male,No,No,Strongly agree,"Less than $50,000",Slightly Conservative,Suburban,1,2.82E+11,Placebo,,
11/17/19 14:16,11/17/19 14:26,IP Address,159.118.14.133,100,591,TRUE,11/17/19 14:26,R_1poqBQNmz2k8JbH,,,,,33.74240112,-90.729599,anonymous,EN,,,,,,,,,5.305,170.603,174.181,5,3.134,317.375,318.753,2,,,,,,,,,2.755,39.386,41.05,8,Somewhat agree,Somewhat Agree,Strongly agree,Neither Agree or Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1.439,28.012,29.507,10,25-34 years,4 year degree,Female,No,No,Somewhat agree,"Less than $50,000",Slightly Liberal,Rural,1,6.92E+11,AntiTreatment,,
11/17/19 14:19,11/17/19 14:31,IP Address,104.240.124.94,100,742,TRUE,11/17/19 14:31,R_2v68x25LFkOlwVs,,,,,40.13169861,-88.28540039,anonymous,EN,,,,,,,,,0,0,166.307,0,3.163,4.207,387.548,2,,,,,,,,,2.972,49.354,50.352,24,Strongly disagree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly disagree,Strongly agree,1.566,27.036,27.711,21,35-44 years,4 year degree,Female,No,No,Strongly agree,"Less than $50,000",Very Liberal,Rural,1,9.45E+11,AntiTreatment,,
11/17/19 14:22,11/17/19 14:38,IP Address,173.198.160.217,100,949,TRUE,11/17/19 14:38,R_3EPYdnoclgI0sEY,,,,,43.96299744,-111.703598,anonymous,EN,,,,,,,,,,,,,,,,,0,0,166.954,0,0,0,270.344,0,384.804,449.761,451.844,8,Strongly agree,Somewhat Agree,Somewhat agree,Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,3.348,45.996,46.93,10,55 years or older,2 year degree,Female,Yes,Yes,Somewhat agree,"Less than $50,000",Slightly Liberal,Urban,1,9.06E+11,Placebo,,
11/17/19 14:51,11/17/19 14:59,IP Address,144.92.38.235,100,491,TRUE,11/17/19 14:59,R_24uFhowfJ0ADfdx,,,,,43.07820129,-89.40750122,anonymous,EN,,,,,,,,,,,,,,,,,0,0,151.471,0,0,0,267.05,0,3.575,26.003,27.214,7,Strongly agree,Strongly Agree,Strongly agree,Somewhat Disagree,Strongly agree,Strongly disagree,Strongly agree,1.11,31.171,32.115,9,35-44 years,Professional degree,Male,No,Yes,Strongly agree,"Less than $50,000",Very Liberal,Urban,1,2.40E+11,Placebo,,
11/17/19 14:54,11/17/19 15:06,IP Address,47.224.50.72,100,705,TRUE,11/17/19 15:06,R_1GTBbXE2GgQfs9Q,,,,,45.60800171,-84.48670197,anonymous,EN,234.066,234.066,237.723,1,31.855,78.599,359.711,2,,,,,,,,,,,,,,,,,5.447,57.143,60.43,7,Strongly agree,Strongly Agree,Strongly agree,Somewhat Disagree,Somewhat agree,Strongly disagree,Strongly agree,2.778,35.073,37.525,9,35-44 years,4 year degree,Male,No,Yes,Strongly agree,"$50,000 - $74,000",Very Liberal,Urban,1,2.90E+11,Treatment,,
11/17/19 14:53,11/17/19 15:06,IP Address,70.171.9.199,100,775,TRUE,11/17/19 15:06,R_3qCO19djOqfBjTl,,,,,29.68249512,-82.36060333,anonymous,EN,,,,,,,,,0,0,127.791,0,0,0,310.689,0,,,,,,,,,5.82,31.553,33.478,8,Strongly agree,Strongly Agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,1.046,32.55,34.119,9,25-34 years,4 year degree,Male,Yes,Yes,Strongly agree,"$100,000 - $149,000",Neither Conservative nor Liberal,Urban,1,3.46E+11,AntiTreatment,,
11/17/19 15:47,11/17/19 16:03,IP Address,45.35.132.211,100,953,TRUE,11/17/19 16:03,R_6A3iFN9pPjJHP57,,,,,32.81370544,-96.87039948,anonymous,EN,0,0,265.321,0,322.943,334.178,428.41,2,,,,,,,,,,,,,,,,,7.462,76.061,80.87,7,Strongly agree,Strongly Agree,Strongly agree,Neither Agree or Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,53.154,157.814,163.97,11,55 years or older,4 year degree,Female,No,Yes,Somewhat agree,"$75,000 - $99,000",Very Conservative,Urban,1,46652121004,Treatment,,
11/17/19 16:06,11/17/19 16:14,IP Address,98.116.142.158,100,485,TRUE,11/17/19 16:14,R_DHqCd4Vra1Gq16V,,,,,40.62860107,-73.93900299,anonymous,EN,,,,,,,,,,,,,,,,,0,0,126.623,0,0,0,255.895,0,3.169,49.213,50.628,7,Strongly agree,Strongly Agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,3.095,39.892,41.498,10,25-34 years,Some college,Male,No,Yes,Strongly agree,"$50,000 - $74,000",Neither Conservative nor Liberal,Urban,1,2.26E+11,Placebo,,
11/17/19 16:27,11/17/19 16:39,IP Address,24.192.109.103,100,697,TRUE,11/17/19 16:39,R_2rN5xepiUmHBnaD,,,,,27.73629761,-82.66539764,anonymous,EN,,,,,,,,,6.829,123.256,124.307,2,4.761,309.4,315.044,2,,,,,,,,,2.927,38.119,39.41,7,Strongly agree,Strongly Disagree,Somewhat disagree,Strongly Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,3.26,34.527,35.793,11,55 years or older,4 year degree,Female,Yes,Yes,Strongly disagree,"$50,000 - $74,000",Very Conservative,Suburban,1,1.13E+11,AntiTreatment,,
